課程名稱,授課教師,學期,A+,A,A以下,A-以上,A-,A-以下,B+以上,B+,B+以下,B以上,B,B以下,B-以上,B-,B-以下,C+以上,C+,C+以下,C以上,C,C以下,C-以上,C-,F
民法物權,黃詩淳,107-2,,,,,,,,,,,,,,78.52,,,7.38,,,14.09,,,,
民眾基本救護,陳石池,107-2,,54.41,,,39.71,,,5.88,,,,,,,,,,,,,,,,
水資源概論,張斐章,107-2,24.38,75.62,,,,,,,,,,,,,,,,,,,,,,
海洋科學概論,楊穎堅,107-2,59.11,40.89,,,,,,,,,,,,,,,,,,,,,,
犯罪、毒品與人性,賴文崧,107-2,69.23,30.77,,,,,,,,,,,,,,,,,,,,,,
現代科學與心靈科學,歐陽彥正,107-2,,,,,72.66,,,9.77,,,17.58,,,,,,,,,,,,,
現代舞,蔡秀華 ,107-2,73.08,26.92,,,,,,,,,,,,,,,,,,,,,,
生物化學乙下,蕭超隆,107-2,4.63,10.08,,,3.92,,,,,,17.59,,,42.59,,,,,,,,,,
生物化學乙下,李平篤,107-2,,,,,,,,,,,22.55,,,5.88,,,71.57,,,,,,,
生物化學實驗,張世宗,107-2,26.19,73.81,,,,,,,,,,,,,,,,,,,,,,
程式設計,黃俊郎,107-2,,,,,46.3,,,12.96,,,40.74,,,,,,,,,,,,,
程式設計,郭巧玲,107-2,22.73,77.27,,,,,,,,,,,,,,,,,,,,,,
統計史導論,黃旻華,107-2,13.7,86.3,,,,,,,,,,,,,,,,,,,,,,
經濟學一,葉淑貞,107-2,48.08,51.92,,,,,,,,,,,,,,,,,,,,,,
經濟學二,吳中書,107-2,21.01,20.73,,,58.26,,,,,,,,,,,,,,,,,,,
經濟學原理與實習下,駱明慶,107-2,17.32,82.68,,,,,,,,,,,,,,,,,,,,,,
經濟學的政策運用,陳博志,107-2,12.22,22.22,,,65.56,,,,,,,,,,,,,,,,,,,
總體經濟學,劉憶如,107-2,,27.59,,,34.48,,,37.93,,,,,,,,,,,,,,,,
美國憲法專題,黃昭元,107-2,,,,,,,,90.91,,,6.06,,,3.03,,,,,,,,,,
老子甲下,盧桂珍,107-2,20,53.33,,,26.67,,,,,,,,,,,,,,,,,,,
職場英文寫作與口語表達,陳巧玲 (01),107-2,19.44,80.56,,,,,,,,,,,,,,,,,,,,,,
肉品學,陳億乘,107-2,40.91,59.09,,,,,,,,,,,,,,,,,,,,,,
肉品學實習,陳億乘,107-2,13.89,52.78,,,33.33,,,,,,,,,,,,,,,,,,,
臺灣史二,呂紹理,107-2,,,,,61.96,,,26.09,,,11.96,,,,,,,,,,,,,
英文(附一小時英聽)二,施純宜,107-2,7.14,92.86,,,,,,,,,,,,,,,,,,,,,,
英文二,李書雨,107-2,11.11,33.33,,,55.56,,,,,,,,,,,,,,,,,,,
茶作學,邱垂豐,107-2,45.1,54.9,,,,,,,,,,,,,,,,,,,,,,
茶與茶業,陳右人 ,107-2,58.5,41.5,,,,,,,,,,,,,,,,,,,,,,
莊子哲學,林明詔,107-2,,37.7,,,27.87,,,34.43,,,,,,,,,,,,,,,,
落葉果樹二,李國譚,107-2,16.67,83.33,,,,,,,,,,,,,,,,,,,,,,
蛋品加工學,王聖耀,107-2,33.33,55.56,,,11.11,,,,,,,,,,,,,,,,,,,
行政救濟法,李建良,107-2,18.45,53.88,,,27.67,,,,,,,,,,,,,,,,,,,
西班牙文二下,張雯媛 ,107-2,,,,,,,,,,,88.89,,,8.33,,,2.78,,,,,,,
計量導論,王衍智,107-2,,48.08,,,10.58,,,41.35,,,,,,,,,,,,,,,,
豬學,吳信志,107-2,13.79,37.93,,,48.28,,,,,,,,,,,,,,,,,,,
豬學實習,吳信志,107-2,6.9,31.03,,,62.07,,,,,,,,,,,,,,,,,,,
豬營養學甲,魏恒巍,107-2,28.57,71.43,,,,,,,,,,,,,,,,,,,,,,
貿易政策,陳添枝,107-2,19.79,80.21,,,,,,,,,,,,,,,,,,,,,,
貿易理論,崔炳和,107-2,32.8,67.2,,,,,,,,,,,,,,,,,,,,,,
資料結構與演算法,蔡欣穆,107-2,13.68,86.32,,,,,,,,,,,,,,,,,,,,,,
跆拳道初級,陳君鳳,107-2,,,,,46.77,,,46.77,,,6.45,,,,,,,,,,,,,
跆拳道初級,吳明翰 ,107-2,92.59,7.41,,,,,,,,,,,,,,,,,,,,,,
進階法醫學,華筱玲,107-2,13.33,26.67,,,60,,,,,,,,,,,,,,,,,,,
遺傳學,陳凱儀,107-2,,,,,,,,40.62,,,15.62,,,43.75,,,,,,,,,,
遺傳學實驗,陳凱儀,107-2,64.71,35.29,,,0,,,,,,,,,,,,,,,,,,,
邏輯,曾漢塘,107-2,15.73,7.87,,,76.4,,,,,,,,,,,,,,,,,,,
醫學與人文,陳彥元,107-2,33.68,66.32,,,,,,,,,,,,,,,,,,,,,,
醫療民事法專題討論二,吳志正,107-2,39.47,60.53,,,,,,,,,,,,,,,,,,,,,,
電磁學下,郭光宇,107-2,15.91,84.09,,,,,,,,,,,,,,,,,,,,,,
電磁學習題演練下,郭光宇,107-2,28.57,71.43,,,,,,,,,,,,,,,,,,,,,,
高爾夫初級,簡坤鐘,107-2,36.17,48.94,,,14.89,,,,,,,,,,,,,,,,,,,
中國傳統生命禮俗,葉國良,107-1,,,,,56.67,,,13.33,,,30,,,,,,,,,,,,,
中國傳統生命禮俗,葉國良,107-1,,25.33,,,31.33,,,43.33,,,,,,,,,,,,,,,,
中級會計學上,蔡彥卿,107-1,,28.72,,,21.28,,,50,,,,,,,,,,,,,,,,
人文地理學通論,洪伯邑,107-1,,21.15,,,51.92,,,26.92,,,,,,,,,,,,,,,,
人文地理調查方法,簡旭伸,107-1,13.33,86.67,,,,,,,,,,,,,,,,,,,,,,
作物學各論一,莊汶博,107-1,21.05,78.95,,,,,,,,,,,,,,,,,,,,,,
作物學實習一,莊汶博,107-1,84.85,15.15,,,,,,,,,,,,,,,,,,,,,,
使用者經驗設計,黃仲菁,107-1,30.23,53.49,,,16.28,,,,,,,,,,,,,,,,,,,
個體經濟學,劉憶如,107-1,36.21,63.79,,,,,,,,,,,,,,,,,,,,,,
個體經濟學上,黃貞穎,107-1,,,,,,,,,,,,,,,,,,,,87.63,,,9.28,3.09
個體經濟學上,狄萊,107-1,,,,,44.9,,,13.27,,,41.84,,,,,,,,,,,,,
個體經濟學上,陳俊廷 (04),107-1,,,,,30.56,,,8.33,,,61.11,,,,,,,,,,,,,
健康體適能,麥吉誠,107-1,29.73,40.54,,,29.73,,,,,,,,,,,,,,,,,,,
健康體適能,曾郁嫻,107-1,6.52,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,金敏玲,107-1,66.67,33.33,,,,,,,,,,,,,,,,,,,,,,
健康體適能,簡坤鐘,107-1,40,60,,,,,,,,,,,,,,,,,,,,,,
傳統中國法專題討論,陳韻如,107-1,26.67,73.33,,,,,,,,,,,,,,,,,,,,,,
先秦道家哲學,魏家豪,107-1,,,,,,,,56.67,,,16.67,,,26.67,,,,,,,,,,
全球通識講座-認識全球(一),張慶瑞,107-1,36.22,63.78,,,,,,,,,,,,,,,,,,,,,,
分析化學丁,張哲政 ,107-1,,31.38,,,39.89,,,28.72,,,,,,,,,,,,,,,,
分析化學丁,張哲政 ,107-1,,10.81,,,13.51,,,75.68,,,,,,,,,,,,,,,,
分析化學實驗,張哲政 (01),107-1,12,32,,,56,,,,,,,,,,,,,,,,,,,
分析導論一,陳俊全,107-1,22.68,77.32,,,,,,,,,,,,,,,,,,,,,,
刑法總則一,薛智仁,107-1,,,,,,,,52.29,,,24.77,,,22.94,,,,,,,,,,
力學上,龐寧寧,107-1,5.5,94.5,,,,,,,,,,,,,,,,,,,,,,
力學習題演練上,龐寧寧,107-1,11.58,88.42,,,,,,,,,,,,,,,,,,,,,,
動物生殖學,吳兩新,107-1,21.88,15.62,,,15.62,,,9.38,,,21.88,,,15.62,,,,,,,,,,
動物生理學,陳瑞芬,107-1,,,,,,,,50,,,7.5,,,42.5,,,,,,,,,,
動物細胞生物學,鍾德憲,107-1,11.43,17.14,,,11.43,,,,,,,,,,,,,,,,,,20,8.57
動物與法律,林明鏘,107-1,,36.49,,,27.03,,,36.49,,,,,,,,,,,,,,,,
商法專題研究一,王文宇 ,107-1,10.81,67.57,,,21.62,,,,,,,,,,,,,,,,,,,
國際海洋法一,姜皇池,107-1,,,,,,,,,,,,,,,,,,,,84.21,,,10.53,5.26
園場操作與經營一,吳俊達,107-1,15.79,52.63,,,31.58,,,,,,,,,,,,,,,,,,,
土壤學,李達源,107-1,,47.06,,,21.57,,,31.37,,,,,,,,,,,,,,,,
土壤學實驗,許正一,107-1,55,45,,,,,,,,,,,,,,,,,,,,,,
基本權理論專題研究一,李建良 ,107-1,55.56,44.44,,,,,,,,,,,,,,,,,,,,,,
大學國文一,汪詩珮,107-1,,42.86,,,35.71,,,21.43,,,,,,,,,,,,,,,,
大學國文一,盧桂珍,107-1,4.88,,,,,,,,,,,,,,,,,,,,,,,
大學國文一,盧桂珍,107-1,10,57.5,,,32.5,,,,,,,,,,,,,,,,,,,
存在主義,鄭義愷,107-1,,,,,,,,52.17,,,32.61,,,15.22,,,,,,,,,,
實驗動物學,王珮華,107-1,43.59,28.21,,,28.21,,,,,,,,,,,,,,,,,,,
工程圖學與電腦製圖,朱元南,107-1,41.3,,,,,,,,,,,,,,,,,,,,,,,
工程用生物學,謝博全,107-1,29.79,21.28,,,48.94,,,,,,,,,,,,,,,,,,,
幹細胞學導論,吳信志,107-1,,,,,,,,50,,,8.33,,,41.67,,,,,,,,,,
微積分乙上,莊正良,107-1,,22.94,,,8.26,,,68.81,,,,,,,,,,,,,,,,
微積分乙上,李聰成,107-1,20.17,79.83,,,,,,,,,,,,,,,,,,,,,,
微積分甲上,王藹農,107-1,,,,,7.5,,,,,,,,,,,,,,,,,,,
微積分甲上,劉瓊如,107-1,15.5,84.5,,,,,,,,,,,,,,,,,,,,,,
德文一上,李秀蓮 ,107-1,,,,,,,,,,,,,,,,,,,,,,,95,5
憲法,張文貞,107-1,,26.54,,,27.78,,,45.68,,,,,,,,,,,,,,,,
憲法,蘇慧婕,107-1,,,,,,,,44.09,,,14.17,,,41.73,,,,,,,,,,
憲法變遷專題研究二,葉俊榮,107-1,,100,,,,,,,,,,,,,,,,,,,,,,
應用數學二,李慶德,107-1,25.3,74.7,,,,,,,,,,,,,,,,,,,,,,
政治學概論,王業立,107-1,20.54,17.86,,,61.61,,,,,,,,,,,,,,,,,,,
數學之美,呂學一,107-1,63.19,36.81,,,,,,,,,,,,,,,,,,,,,,
日文一上,詹兆雯,107-1,28.95,71.05,,,,,,,,,,,,,,,,,,,,,,
日文一上,曾寶儀,107-1,33.33,25,,,41.67,,,,,,,,,,,,,,,,,,,
日文一上,張鈞竹,107-1,27.03,72.97,,,,,,,,,,,,,,,,,,,,,,
日文一上,李芸蓁,107-1,20.59,79.41,,,,,,,,,,,,,,,,,,,,,,
昆蟲與人生,楊恩誠,107-1,3.81,43.32,,,52.86,,,,,,,,,,,,,,,,,,,
普通心理學,葉俊毅,107-1,10.71,13.57,,,75.71,,,,,,,,,,,,,,,,,,,
普通物理學實驗上,傅昭銘,107-1,,,,,31.82,,,,,,,,,,,,,,,,,,,
普通物理學甲上,王立民,107-1,,21.15,,,13.46,,,65.38,,,,,,,,,,,,,,,,
普通物理學甲上,傅昭銘,107-1,4.17,18.75,,,,,,,,,,,,,,,,,,,,,,
普通物理學甲上,呂榮祥,107-1,11.76,15.69,,,72.55,,,,,,,,,,,,,,,,,,,
會計學一上,吳淑玲,107-1,,,,,50,,,9.8,,,40.2,,,,,,,,,,,,,
朝鮮王朝的建立與發展,姜智恩,107-1,,,,,,,,54.21,,,9.35,,,36.45,,,,,,,,,,
植物保護學,陳昭瑩 ,107-1,3.39,27.12,,,27.12,,,42.37,,,,,,,,,,,,,,,,
植物生理學,林盈仲,107-1,11.63,16.28,,,72.09,,,,,,,,,,,,,,,,,,,
植物生理學實驗,林盈仲,107-1,,40.91,,,27.27,,,22.73,,,9.09,,,,,,,,,,,,,
民族植物學研究與實作,羅素玫,107-1,0,68.75,,,31.25,,,,,,,,,,,,,,,,,,,
民法債編總論二,陳忠五,107-1,,,,,,,,,,,,,,61.72,,,5.47,,,32.81,,,,
民法概要乙,洪瑞燦,107-1,,,,,,,,71.81,,,12.08,,,16.11,,,,,,,,,,
民法總則,陳聰富,107-1,,26.03,,,17.12,,,56.85,,,,,,,,,,,,,,,,
民法身分法,黃詩淳,107-1,,,,,,,,,,,82.91,,,7.59,,,9.49,,,,,,,
法學緒論,陳昭如,107-1,,,,,35.19,,,20.37,,,44.44,,,,,,,,,,,,,
法理學,顏厥安,107-1,,,,,42.74,,,8.55,,,48.72,,,,,,,,,,,,,
海洋法專題研究一,姜皇池 ,107-1,33.33,66.67,,,,,,,,,,,,,,,,,,,,,,
海洋與社會,徐銘謙,107-1,,,,,,,,,,,51.35,,,8.11,,,40.54,,,,,,,
演化生物學,李承叡,107-1,,,,,,,,,,,,,,45.16,,,12.9,,,41.94,,,,
環境資源保育經理及實習,周素卿,107-1,,18.42,,,10.53,,,71.05,,,,,,,,,,,,,,,,
生物、演化與人,王道還,107-1,,,,,,,,,,,,,,,,,,,,,,,49.06,50.94
生物化學乙上,果伽蘭,107-1,0.91,3.64,,,23.63,,,23.63,,,14.55,,,8.18,,,11.82,,,37.27,,,,
生物化學乙上,李平篤,107-1,8.65,8.65,,,82.69,,,,,,,,,,,,,,,,,,,
生物技術學,朱有田,107-1,100,,,,,,,,,,,,,,,,,,,,,,,
監獄學,李茂生,107-1,,,,,,,,,,,,,,,,,,,,,,,96.62,3.38
神經生物學(一),潘建源,107-1,,,,,59.46,,,5.41,,,35.14,,,,,,,,,,,,,
科學哲學,王榮麟,107-1,,,,,,,,,,,,,,,,,,,,,,,77.36,22.64
科學在文化中的定位和挑戰,江才健,107-1,,,,,,,,65,,,26.11,,,8.89,,,,,,,,,,
管理數學,黃以達,107-1,18.02,81.98,,,,,,,,,,,,,,,,,,,,,,
統計學,林恩仲,107-1,30,70,,,,,,,,,,,,,,,,,,,,,,
統計學,陳虹諺 ,107-1,26.39,40.28,,,40.28,,,40.28,,,40.28,,,5.56,,,27.78,,,,,,,
統計學一上,王衍智,107-1,,61.7,,,9.57,,,28.72,,,,,,,,,,,,,,,,
經濟學一,劉錦添,107-1,,,,,62.65,,,6.02,,,31.33,,,,,,,,,,,,,
經濟學二,陳虹如,107-1,8.96,19.4,,,71.64,,,,,,,,,,,,,,,,,,,
經濟學原理上,官俊榮,107-1,13.33,86.67,,,,,,,,,,,,,,,,,,,,,,
經濟學原理與實習上,駱明慶,107-1,16.74,23.85,,,59.41,,,,,,,,,,,,,,,,,,,
老子甲上,盧桂珍,107-1,17.14,42.86,,,40,,,,,,,,,,,,,,,,,,,
自然地理學通論,黃倬英,107-1,,25,,,31.82,,,43.18,,,,,,,,,,,,,,,,
臺灣歷史與人物,歐素瑛,107-1,,29.63,,,39.51,,,30.86,,,,,,,,,,,,,,,,
臺灣現代主義小說,柯慶明,107-1,26.54,52.86,,,20.59,,,,,,,,,,,,,,,,,,,
花卉學,葉德銘,107-1,,31.58,,,18.95,,,11.57,,,14.74,,,23.16,,,,,,,,,,
花卉學實習,葉德銘,107-1,27.78,47.22,,,25,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)一,陶漢威,107-1,71.88,,,,,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)一,施純宜,107-1,12.5,87.5,,,,,,,,,,,,,,,,,,,,,,
蔬菜學,林淑怡 ,107-1,15.66,40.96,,,15.66,,,27.71,,,,,,,,,,,,,,,,
蔬菜學實習,林淑怡 ,107-1,42.42,51.52,,,3.03,,,3.03,,,,,,,,,,,,,,,,
西班牙文二上,馬里奧,107-1,,54.05,,,24.32,,,21.62,,,,,,,,,,,,,,,,
計算機概論,莊永裕,107-1,26.32,25,,,48.68,,,,,,,,,,,,,,,,,,,
計算機程式設計,劉邦鋒,107-1,59.29,40.71,,,,,,,,,,,,,,,,,,,,,,
計算機程式語言,林達德,107-1,27.14,21.43,,,,,,,,,,,,,,,,,,,,,,
計量地理學及實習,溫在弘,107-1,42.22,6.67,,,51.11,,,,,,,,,,,,,,,,,,,
試驗設計學,廖振鐸,107-1,,26,,,26,,,48,,,,,,,,,,,,,,,,
財政學,宋玉生,107-1,19.48,80.52,,,,,,,,,,,,,,,,,,,,,,
足球初級,楊裕隆,107-1,30.56,69.44,,,,,,,,,,,,,,,,,,,,,,
跆拳道初級,陳君鳳,107-1,,75.95,,,8.86,,,15.19,,,,,,,,,,,,,,,,
跨越時空談宇宙,陳丕燊,107-1,26.54,52.86,,,20.59,,,,,,,,,,,,,,,,,,,
農業經濟概論,吳榮杰,107-1,15.28,55.55,,,55.55,,,55.55,,,15.28,,,13.89,,,,,,,,,,
醫療民事法專題討論,吳志正 ,107-1,37.84,44.59,,,17.57,,,,,,,,,,,,,,,,,,,
鋼琴作品與演奏欣賞,張欽全,107-1,87.44,12.56,,,,,,,,,,,,,,,,,,,,,,
電磁學上,郭光宇,107-1,18.68,81.32,,,,,,,,,,,,,,,,,,,,,,
電磁學習題演練上,郭光宇,107-1,10.53,89.47,,,,,,,,,,,,,,,,,,,,,,
食品營養概論,黃青真,107-1,,,,,59.26,,,10.37,,,30.37,,,,,,,,,,,,,
食品與健康,沈立言,107-1,11.97,20.09,,,67.95,,,,,,,,,,,,,,,,,,,
鯨豚保育生物學,周蓮香,107-1,38.95,61.05,,,,,,,,,,,,,,,,,,,,,,
傳播學,闕河嘉 ,106-2,19.51,21.95,,,58.54,,,,,,,,,,,,,,,,,,,
德文一下,蔡嘉穎 (01),106-2,42.86,57.14,,,,,,,,,,,,,,,,,,,,,,
普通化學丙,邱靜雯 (01),106-2,6.2,93.8,,,,,,,,,,,,,,,,,,,,,,
普通化學實驗,牟中原 (04),106-2,6.82,18.18,,,75,,,,,,,,,,,,,,,,,,,
果樹學,陳右人 ,106-2,26.76,73.24,,,,,,,,,,,,,,,,,,,,,,
框架外的思考:五分鐘英文講台,李維晏 (03),106-2,33.33,66.67,,,,,,,,,,,,,,,,,,,,,,
造園學,鄭佳昆 ,106-2,10.61,28.79,,,60.61,,,,,,,,,,,,,,,,,,,
鋼琴作品與演奏欣賞,張欽全,106-2,67.84,32.16,,,,,,,,,,,,,,,,,,,,,,
中國古代的社會與生活,張嘉鳳 ,106-1,,,,,,,,,,,57.14,,,9.52,,,33.33,,,,,,,
健康體適能,王學富 (14),106-1,38.78,61.22,,,,,,,,,,,,,,,,,,,,,,
園藝學原理,張俊彥 ,106-1,,,,,32.43,,,10.81,,,56.76,,,,,,,,,,,,,
德文一上,蔡嘉穎 (01),106-1,43.14,56.86,,,,,,,,,,,,,,,,,,,,,,
普通心理學,曹峰銘 (05),106-1,35.27,64.73,,,,,,,,,,,,,,,,,,,,,,
普通植物學,陳香君 (01),106-1,,21.43,,,19.84,,,58.73,,,,,,,,,,,,,,,,
普通植物學實驗,陳香君 (02),106-1,,15.38,,,38.46,,,46.15,,,,,,,,,,,,,,,,
臺灣憲法,葉俊榮,112,16.98,60.38,,,,,,,,,,,,,,,,,,,,,,
西班牙文一上,劉姿妤,112,50,,,,,,,,,,,,,,,,,,,,,,,
